nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,8g,Saturated Fat,1g,Sodium,842mg,Carbohydrates,21g,Dietary Fiber,7g,Protein,14g,Sugars,1g,Vitamin C,10mg,Calcium,17mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,4mg,Vitamin B6,0mg,Magnesium,12mg,Folate,10mcg,Vitamin A - IU,140IU,Cholesterol,22mg,Potassium,113mg,72,218,chili,chicken chili,chicken,great northern,game day,BUSHâ€™SÂ® beans,party favs,"In large skillet, cook onion in oil for 4 minutes or until transparent. Add chiles, flour and cumin; cook and stir for 2 minutes. Add beans and chicken broth; bring to a boil. Reduce heat; simmer for 10 minutes or until thickened. Add chicken; cook until hot.","Garnish with cheese, sour cream and salsa, if desired.",1 tablespoons olive oil,"1 medium onion, finely chopped","1 (4 ounce) can chopped green chiles, drained",3 tablespoons all-purpose flour,2 teaspoons ground cumin,2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Great Northern Beans,1 (14.5 ounce) can chicken broth,1 1/2 cups finely chopped cooked chicken breast,Shredded Monterey Jack cheese (optional),Sour cream (optional),Salsa (optional),8 cups, 30   Minutes, 20   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/32477338-d35c-474b-b654-dbf35875e760.jpg,Pack this chicken chili made with Great Northern Beans and take it to your next tailgate!,White Chicken Chili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,17g,Sodium,1793mg,Dietary Fiber,10g,Protein,30g,Cholesterol,76mg,Total Carbs,37g,,,,,,,,,,,,,,,,,,,,,,,,,,439,Family Inspired,BUSH'S,special,pinto beans,,,,Heat oil in a 10-inch skillet over medium-high heat. Brown beef and drain.,Combine cooked beef and remaining ingredients in slow cooker. ,1 tablespoon olive oil,2 pounds ground beef,"1 medium onion, diced ","2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained ","1 (15 ounce) can whole kernel corn, undrained",1 (8 ounce) can tomato sauce,4 cups water,"2 (14.5 ounce) cans diced tomatoes, undrained",1 (4 ounce) can diced green chiles ,2 (1.4 ounce) packages taco seasoning,,8, 4   hours 15   Minutes, 4   hours, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/2048c411-5c1b-4982-8b98-718320bfbd05.jpg,This beefy taco soup gets a zippy kick with diced green chiles and taco seasoning.,Slow Cooker Beef Taco Soup,Cover and cook 4-6 hours on low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,14g,Sodium,1630mg,Dietary Fiber,8g,Protein,21g,Cholesterol,47mg,Total Carbs,33g,,,,,,,,,,,,,,,,,,,,,,,,,,343,chili,,,,,,,"Heat oil in skillet.  Cook beef until lightly browned.  Push to one side of pan.  Add onion, garlic, and celery.  Cook until soft.  Drain excess fat.  Mix in remaining ingredients.  Mix well, simmer 30 to 45 minutes.",,2 teaspoons oil,1 lb. ground beef ,1 large onion (chopped)    ,4 pieces celery (chopped)         ,2 cloves garlic (minced),2 16 oz. cans BUSHâ€™S<sup>Â®</sup> Chili Beans,2 cups water,2 teaspoon salt,1/2 teaspoon pepper                                          ,1/2 teaspoon sugar ,1 teaspoon chili powder (or to taste),6, 1 hour, 50   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/ec424055-d02e-4e8c-8f63-513de41a1d57.jpg,"This classic chili with ground beef has lots of celery, chili beans and heat, and it's ready in about an hour.",Chili Beans Chili,,1/2 cup ketchup,1/2 teaspoon cayenne pepper or hot pepper sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,4g,Saturated Fat,1g,Sodium,641mg,Carbohydrates,30g,Dietary Fiber,4g,Protein,8g,Sugars,10g,Vitamin C,11mg,Calcium,12mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,10mg,Folate,21mcg,Vitamin A - IU,227IU,Cholesterol,8mg,Potassium,192mg,37,180,baked beans,BUSHâ€™SÂ® beans,party favs,,,,,Preheat oven to 350 degrees F. Combine all ingredients in 2 quart casserole dish. Cover casserole and bake for 30 minutes. Uncover and continue baking 15 minutes longer or until surface is bubbly.,,1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Boston Recipe Baked Beans,"1 (14.5 ounce) can tomatoes with basil, garlic and oregano, diced and drained","1 (15.5 ounce) can whole kernel corn, drained","8 slices bacon, cooked, drained and crumbled",1/2 cup chopped red onion,1/2 cup chopped green pepper,,,,,,10 side-dish servings, 55   Minutes, 45   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146441.jpg,"A combination of Boston Baked Beans, corn, chopped tomatoes and basil makes a great casserole.",South of the Border Baked Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,15g,Sodium,1481mg,Dietary Fiber,14g,Protein,15g,Sugars,13g,Cholesterol,13mg,Total Carbs,61g,,,,,,,,,,,,,,,,,,,,,,,,399,chili,Family Inspired,BUSH'S,special,black beans,,,Heat half the oil in a 2-quart saucepan over medium-high heat. Add cut tortillas and lightly brown. Remove to a paper towel-lined plate; let drain.,"Heat remaining oil in saucepan. Add onion, red pepper, garlic, corn and seasonings. Cook 4 minutes; stir often.",2 tablespoons olive oil,"2 (6- or 8-inch) corn tortillas, cut into 2-inch strips","2 medium onions, chopped","1 large red bell pepper, chopped","4 cloves garlic, chopped","1 (15 ounce) can corn, undrained",2 tablespoons chili powder,1 1/2 teaspoons dried oregano,1 1/2 teaspoons ground cumin,1/4-1/2 teaspoon cayenne pepper,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drained",4, 50   Minutes, 30   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/d00b8b64-8e87-4a9a-aea0-faa5cfff6ee5.jpg,Crispy strips of corn tortillas make a fun topping for this easy black bean chili.,Black Bean Tortilla Chili,Add beans and tomato sauce. Season with salt and pepper to taste. Simmer 20 minutes.,1 (16 ounce) can tomato sauce,salt and pepper,"Serve topped with tortilla strips, cheese, green onions, sour cream and cilantro.",1/4 cup shredded Monterey Jack cheese,"2 green onions, chopped",1/4 cup sour cream,"2 tablespoons fresh cilantro, chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,30g,Saturated Fat,3g,Sodium,229mg,Carbohydrates,32g,Dietary Fiber,11g,Protein,10g,Sugars,5g,Vitamin A,1485IU,Vitamin C,40mg,Calcium,39mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,22mg,Folate,53mcg,Cholesterol,26mg,Potassium,276mg,273,436,garbanzo,vegetarian,BUSHâ€™SÂ® beans,party favs,,,,"Dressing: In a small saucepan over medium heat, heat the shallots in the vinegars to approximately 100 degrees F and then remove from the heat and cool very quickly in an ice bath.","In a blender, combine the vinegar and shallot mixture with the egg yolk pulsing quickly until the ingredients are fully blended.  With the blender running at low speed, slowly drizzle in the canola oil until the dressing is completely emulsified.","1 shallot, finely chopped",3 fluid ounces red wine vinegar,1 fluid ounce raspberry vinegar,1 egg yolk,1 cup canola oil,1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Garbanzo Beans (chickpeas),1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Dark Red Kidney Beans,1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Cannellini Beans,"1 English cucumber, peeled, seeded and diced","8 red radishes, sliced very thin","5 ounces grape tomatoes, halved",8 servings, 20   Minutes, 5   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/164589.jpg,"This dish is very much a warm weather salad that works equally well as either a starter or main dish salad, depending on quantities.",3-Bean Salad with Strawberry Red Wine Vinaigrette,Store in the refrigerator until ready to serve.,"1/2 small red onion, chopped","1 bunch chives, finely chopped","Salad: Drain all of the beans and rinse in cold water.  In a large mixing bowl, combine the beans, cucumber, radishes, grape tomatoes, onions, chives and strawberries.",1 pint fresh strawberries cut lengthwise into 1/4-inch sections,1 head butter lettuce,Sel Gris (coarse sea salt) and freshly ground black pepper to taste,,"Place one large and one small leaf of butter lettuce on each salad plate, concave side up.  Place one-eighth of the salad mixture on each large leaf.  With a spoon or squeeze bottle, place dressing in the small lettuce leaf and serve.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,22g,Saturated Fat,10g,Sodium,633mg,Carbohydrates,30g,Dietary Fiber,5g,Protein,10g,Sugars,1g,Vitamin C,1mg,Calcium,188mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,46mg,Folate,11mcg,Vitamin A - IU,621IU,Cholesterol,44mg,Potassium,149mg,198,356,dips,BUSHâ€™SÂ® beans,,,,,,"Preheat oven to 350 degrees F. Combine cream cheese and salsa and spread in bottom of 9-inch pie plate. Sprinkle with 1/2 cup cheese. Spread chili beans over shredded cheese. Top with remaining shredded cheese, sliced green onions and olives. Bake for 15 minutes until mixture is thoroughly heated and cheese is melted. Serve with tortilla chips.",,"1 (8 ounce) package cream cheese, softened",1/2 cup chunky salsa,"1 cup shredded Cheddar cheese, divided","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Beans, undrained",3 tablespoons sliced green onions,3 tablespoons pitted sliced black olives (optional),Tortilla chips,,,,,8 to 10 servings, 25   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63870.jpg,"Looking for a last-minute entertaining recipe? Cream cheese, salsa and chili beans are topped with melted cheese to create this warm dip that will have everyone lining up for seconds.",Best Chili Cheese Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,29g,Sodium,762mg,Dietary Fiber,12g,Protein,39g,Cholesterol,89mg,Total Carbs,58g,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,"Heat 1/2 tablespoon oil over medium-high heat in large skillet. Once oil is hot, add chicken using tongs (skin side down if using skin-on chicken). Cook 3 to 5 minutes or until skin is brown but chicken is raw. ","Add onions, carrots and garlic to pan and cook 5 minutes or until translucent. Add chicken broth, thyme and rosemary and bring to a simmer. ",4 1/2  tablespoon olive oil,"8 each bone-in, skin-on chicken thighs or boneless, skinless","2 each onions, chopped","4 each carrots, peeled, cut in 1/2-inch pieces","2 cloves garlic, chopped",1 cup chicken broth,1/4 teaspoon dried thyme or 4 sprigs thyme,1/4 teaspoon dried rosemary or 1 sprig rosemary,"2 cans (15.8 ounces) BUSHâ€™S<sup>Â®</sup> Great Northern Beans, drained and rinsed",2 cups bread crumbs ,1/4 cup grated Parmesan cheese,6, 3   hours 5   Minutes, 3   hours, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/9004da05-af3f-4115-87c0-e46c10e08928.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Beans by Connie Guttersen, PhD, RD, nutrition instructor at the Culinary Institute of America and author of â€œThe New Sonoma Dietâ€ù and â€œThe Sonoma Cookbookâ€ùSterling 2011.",BUSHâ€™S<sup>Â®</sup> Beans Slow Cooker Chicken Casserole,"Add 1/3 beans to slow cooker. Top with 1/2 chicken mixture, add another 1/3 beans then layer remaining chicken mixture and top with remaining beans.","1/4 teaspoon dried parsley or 1/2 cup fresh parsley, chopped",,Cook in slow cooker on low heat for 3 hours or until chicken is tender.,,,,,"While mixture is cooking, heat remaining oil in large skillet over medium heat. Add bread crumbs and stir 5 minutes or until golden brown. Remove from heat. Add cheese and parsley and set aside.","Once chicken is tender and internal temperature is at least 165 degrees F, sprinkle bread crumb mixture on top of casserole and serve. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,23g,Sodium,1101mg,Dietary Fiber,9g,Protein,45g,Sugars,2g,Cholesterol,96mg,Total Carbs,55g,,,,,,,,,,,,,,,,,,,,,,,,619,Family Inspired,BUSH'S,special,pinto beans,,,,Heat oil in a 10-inch skillet over medium-high heat. Add chicken breast pieces; brown slightly. Add onion and garlic; cook 2 minutes.,"Place half the beans in a medium bowl, mash gently with a potato masher or the back of a fork. Stir in remaining whole beans.",2 tablespoons olive oil,"1 pound boneless, skinless chicken breast, cut into 1-inch pieces","1 small onion, chopped","2 cloves garlic, chopped","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained ",1 (15 ounce) can enchilada sauce,4 (8-inch) tortillas,1 cup shredded Cheddar cheese,"1/4 cup fresh cilantro, chopped","1/2 lime, juiced",,4, 35   Minutes, 20   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/e2cc4592-5ab4-44a9-a2d1-612487497c02.jpg,Chunks of chicken and BUSHâ€™S<sup>Â®</sup> Pinto Beans in a rich enchilada sauce make quick and delicious enchiladas.,Skillet Chicken Enchiladas,Add beans and half the enchilada sauce to skillet. Simmer 3-4 minutes. ,,,"Divide mixture evenly onto tortillas. Roll up filled tortillas; return to pan. Pour remaining sauce over rolled tortillas and sprinkle with cheese, cilantro and lime juice. ",,,,,"Cook, covered, over low heat for 10 minutes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,1g,Saturated Fat,0g,Sodium,685mg,Carbohydrates,24g,Dietary Fiber,8g,Protein,9g,Sugars,2g,Vitamin C,1mg,Calcium,15mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,6mg,Folate,2mcg,Vitamin A - IU,469IU,Cholesterol,2mg,Potassium,91mg,11,129,black beans,BUSHâ€™SÂ® beans,Soup,quick & easy,kid friendly,,,"Mash one can of beans with potato masher or food processor. Pour both cans of beans into medium saucepan. Add chicken broth, salsa, and chili powder. Bring to a boil. If desired top with shredded cheese, sour cream, onion, and cilantro.",,"2 (15 ounce) cans BUSHâ€™S<sup>Â®</sup> Black Beans, undrained",1 (16 ounce) can reduced sodium chicken broth,1/2 cup salsa,1 tablespoon chili powder,Shredded cheese (optional),Sour cream (optional),Chopped onion (optional),Cilantro (optional),,,,6 cups, 20   Minutes, 15   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146466.jpg,A black bean soup recipe with a little salsa and chili powder to spice things up. Try topping with shredded cheese and sour cream to cool things back down.,Best Black Bean Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
